0, 0
1, 0
2, 1
3, 2
4, 3
5, 4
6, 5
7, 6
8, 3
9, 7
10, 8
11, 9
12, 6
13, 0
14, 8
15, 10
16, 11
17, 0
18, 3
19, 3
20, 12
21, 7
22, 3
23, 13
24, 3
25, 12
26, 14
27, 15
28, 2
29, 15
30, 16
31, 17
32, 16
33, 18
34, 14
35, 9
36, 19
37, 3
38, 20
39, 21
40, 9
41, 15
42, 22
43, 23
44, 24
45, 25
46, 26
47, 4
48, 27
49, 28
50, 3
51, 26
52, 5
53, 26
54, 5
55, 0
56, 3
57, 15
58, 18
59, 9
60, 4
61, 4
62, 7
63, 14
64, 20
65, 26
66, 21
67, 29
68, 14
69, 30
70, 31
71, 29
72, 4
73, 3
74, 10
75, 9
76, 32
77, 15
78, 9
79, 17
80, 33
81, 3
82, 3
83, 21
84, 34
85, 0
86, 18
87, 15
88, 28
89, 6
90, 4
91, 13
92, 2
93, 35
94, 30
95, 10
96, 19
97, 35
98, 3
99, 27
100, 36
101, 8
102, 0
103, 3
104, 30
105, 9
106, 29
107, 20
108, 14
109, 37
110, 10
111, 29
112, 10
113, 14
114, 8
115, 0
116, 0
117, 29
118, 12
119, 4
120, 13
121, 20
122, 4
123, 29
124, 28
125, 17
126, 20
127, 38
128, 34
129, 3
130, 7
131, 28
132, 32
133, 26
134, 20
135, 3
136, 39
137, 12
138, 29
139, 17
140, 30
141, 0
142, 2
143, 4
144, 8
145, 8
146, 3
147, 3
148, 14
149, 8
150, 2
151, 3
152, 36
153, 0
154, 10
155, 3
156, 14
157, 9
158, 14
159, 20
160, 40
161, 25
162, 26
163, 4
164, 2
165, 39
166, 7
167, 41
168, 8
169, 4
170, 4
171, 14
172, 3
173, 3
174, 11
175, 11
176, 2
177, 14
178, 0
179, 10
180, 32
181, 4
182, 41
183, 3
184, 15
185, 29
186, 15
187, 28
188, 20
189, 8
190, 42
191, 26
192, 0
193, 22
194, 8
195, 4
196, 9
197, 3
198, 13
199, 14
200, 5
201, 43
202, 6
203, 20
204, 12
205, 35
206, 14
207, 34
208, 20
209, 12
210, 23
211, 20
212, 30
213, 9
214, 14
215, 8
216, 3
217, 15
218, 10
219, 0
220, 34
221, 12
222, 17
223, 13
224, 35
225, 38
226, 9
227, 44
228, 21
229, 21
230, 41
231, 21
232, 29
233, 40
234, 30
235, 35
236, 8
237, 32
238, 3
239, 0
240, 32
241, 9
242, 3
243, 8
244, 20
245, 39
246, 42
247, 29
248, 0
249, 13
250, 40
251, 8
252, 11
253, 17
254, 45
255, 21
256, 15
257, 4
258, 15
259, 46
260, 28
261, 3
262, 26
263, 3
264, 23
265, 3
266, 4
267, 3
268, 25
269, 14
270, 15
271, 0
272, 9
273, 3
274, 13
275, 14
276, 29
277, 29
278, 20
279, 0
280, 32
281, 9
282, 16
283, 3
284, 39
285, 20
286, 4
287, 47
288, 3
289, 4
290, 21
291, 2
292, 9
293, 40
294, 0
295, 32
296, 38
297, 29
298, 8
299, 16
300, 0
301, 48
302, 49
303, 8
304, 3
305, 14
306, 30
307, 26
308, 12
309, 29
310, 20
311, 14
312, 3
313, 4
314, 33
315, 20
316, 28
317, 3
318, 14
319, 6
320, 9
321, 15
322, 34
323, 14
324, 8
325, 9
326, 4
327, 17
328, 13
329, 34
330, 3
331, 20
332, 29
333, 4
334, 14
335, 41
336, 3
337, 40
338, 0
339, 7
340, 0
341, 34
342, 28
343, 10
344, 28
345, 29
346, 35
347, 0
348, 9
349, 29
350, 8
351, 33
352, 32
353, 48
354, 12
355, 14
356, 20
357, 3
358, 22
359, 19
360, 23
361, 16
362, 34
363, 0
364, 15
365, 8
366, 3
367, 32
368, 0
369, 19
370, 42
371, 32
372, 32
373, 32
374, 14
375, 15
376, 4
377, 47
378, 14
379, 28
380, 16
381, 45
382, 12
383, 0
384, 21
385, 15
386, 35
387, 4
388, 32
389, 26
390, 32
391, 32
392, 49
393, 14
394, 28
395, 15
396, 13
397, 26
398, 0
399, 4
400, 32
401, 3
402, 23
403, 21
404, 3
405, 32
406, 3
407, 4
408, 32
409, 34
410, 19
411, 0
412, 0
413, 50
414, 0
415, 40
416, 46
417, 29
418, 12
419, 0
420, 34
421, 35
422, 9
423, 10
424, 4
425, 3
426, 34
